experiment,correct_min,partial_min,accuracy
claude · Pure,0.5,0.2,0.65
claude · Pure,0.55,0.2,0.65
claude · Pure,0.6,0.2,0.75
claude · Pure,0.65,0.2,0.75
claude · Pure,0.7,0.2,0.75
claude · Pure,0.75,0.2,0.725
claude · Pure,0.8,0.2,0.7
claude · Pure,0.5,0.25,0.825
claude · Pure,0.55,0.25,0.825
claude · Pure,0.6,0.25,0.925
claude · Pure,0.65,0.25,0.925
claude · Pure,0.7,0.25,0.925
claude · Pure,0.75,0.25,0.9
claude · Pure,0.8,0.25,0.875
claude · Pure,0.5,0.3,0.825
claude · Pure,0.55,0.3,0.825
claude · Pure,0.6,0.3,0.925
claude · Pure,0.65,0.3,0.925
claude · Pure,0.7,0.3,0.925
claude · Pure,0.75,0.3,0.9
claude · Pure,0.8,0.3,0.875
claude · Pure,0.5,0.35,0.825
claude · Pure,0.55,0.35,0.825
claude · Pure,0.6,0.35,0.925
claude · Pure,0.65,0.35,0.925
claude · Pure,0.7,0.35,0.925
claude · Pure,0.75,0.35,0.9
claude · Pure,0.8,0.35,0.875
claude · Pure,0.5,0.4,0.8
claude · Pure,0.55,0.4,0.8
claude · Pure,0.6,0.4,0.9
claude · Pure,0.65,0.4,0.9
claude · Pure,0.7,0.4,0.9
claude · Pure,0.75,0.4,0.875
claude · Pure,0.8,0.4,0.85
claude · Pure,0.5,0.45,0.8
claude · Pure,0.55,0.45,0.8
claude · Pure,0.6,0.45,0.9
claude · Pure,0.65,0.45,0.9
claude · Pure,0.7,0.45,0.9
claude · Pure,0.75,0.45,0.875
claude · Pure,0.8,0.45,0.85
